ID	station	lon	lat	elevation	EGM08	EGM96	satellite				
0000000010285	R_PALENA_PALENA_KM0056	-72.57	-44.01	13.6	18.95	18.02	SENTINEL3A				
0000000010286	R_PALENA_PALENA_KM0063	-72.5	-43.99	28	19.07	18.15	SENTINEL3B				
0000000010284	R_PALENA_PALENA_KM0137	-72.14	-43.7	104.4	20.3	18.69	SENTINEL3A				
0000000010301	R_CHICO_CHICO_KM0036	-68.82	-49.68	18	11.34	10.74	SENTINEL3A				
0000000010294	R_PASCUA_MAYER_KM0236	-72.33	-48.21	437.2	16.81	17.2	SENTINEL3A				
0000000010277	R_PUELO_MANSO_KM0094	-71.72	-41.59	434.6	22.08	21.08	SENTINEL3A				
0000000010300	R_CHICO_CHICO_KM0069	-69.2	-49.6	48.9	11.52	10.75	SENTINEL3A				
0000000010278	R_PUELO_PUELO_KM0014	-72.2	-41.62	18.8	21.02	19.87	SENTINEL3B				
0000000010302	R_CHICO_CHICO_KM0083	-69.34	-49.57	60.3	11.61	10.86	SENTINEL3B				
0000000003176	R_CHUBUT_CHUBUT_KM0183	-66.35	-43.6	66.5	15	14.15	SENTINEL3B				
0000000003175	R_CHUBUT_CHUBUT_KM0270	-66.91	-43.95	135.8	15.68	14.46	SENTINEL3B				
0000000003170	R_CHUBUT_CHUBUT_KM0388	-67.83	-43.83	208.6	17.45	16.05	SENTINEL3A				
0000000003173	R_CHUBUT_CHUBUT_KM0394	-67.89	-43.82	211.1	17.53	16.15	SENTINEL3B				
0000000003174	R_CHUBUT_CHUBUT_KM0441	-68.31	-43.85	236.3	18.11	16.73	SENTINEL3B				
0000000003171	R_CHUBUT_CHUBUT_KM0505	-68.81	-43.85	273	18.64	17.5	SENTINEL3B				
0000000003172	R_CHUBUT_CHUBUT_KM0575	-69.12	-43.5	317.9	19.97	18.71	SENTINEL3B				
0000000010290	R_DESEADO_DESEADO_KM0094	-66.87	-47.68	37.6	12.06	11.64	SENTINEL3A				
0000000010291	R_DESEADO_DESEADO_KM0171	-67.25	-47.19	77.2	13.09	12.15	SENTINEL3A				
0000000010292	R_DESEADO_DESEADO_KM0216	-67.67	-47.08	108.6	13.74	12.62	SENTINEL3B				
0000000007369	R_NEGRO2_NEGRO_KM0001	-62.8	-41	0	12.55	12.55	SENTINEL3A				
0000000007367	R_NEGRO2_NEGRO_KM0032	-63.03	-40.8	2	12.96	12.9	SENTINEL3A				
0000000007379	R_NEGRO2_NEGRO_KM0068	-63.36	-40.71	8.7	13.37	13.21	SENTINEL3B				
0000000007365	R_NEGRO2_NEGRO_KM0075	-63.42	-40.7	10.2	13.47	13.26	JASON2				
0000000007377	R_NEGRO2_NEGRO_KM0083	-63.45	-40.67	11.4	13.52	13.3	SENTINEL3B				
0000000007375	R_NEGRO2_NEGRO_KM0146	-63.83	-40.41	27.5	13.95	13.72	SENTINEL3A				
0000000007368	R_NEGRO2_NEGRO_KM0169	-63.96	-40.33	33.9	14.1	13.87	SENTINEL3A				
0000000007386	R_NEGRO2_NEGRO_KM0210	-64.22	-40.16	45.6	14.55	14.14	SENTINEL3B				
0000000007378	R_NEGRO2_NEGRO_KM0247	-64.51	-40.08	55.3	14.84	14.3	SENTINEL3B				
0000000007363	R_NEGRO2_NEGRO_KM0256	-64.59	-40.07	58.4	14.89	14.34	JASON2				
0000000007373	R_NEGRO2_NEGRO_KM0266	-64.64	-40.03	62.5	14.96	14.39	SENTINEL3A				
0000000010295	R_SECO_SECO_KM0132	-68.32	-48.7	150.9	12.83	11.67	SENTINEL3A				
0000000003056	R_BIOBIO_BIOBIO_KM0025	-73.01	-36.97	8.1	20.62	20.56	SENTINEL3A				
0000000003057	R_BIOBIO_BIOBIO_KM0055	-72.93	-37.16	23.7	21.07	21.01	SENTINEL3B				
0000000003055	R_BIOBIO_BIO-BIO_KM0093	-72.67	-37.37	37.5	20.46	20.66	SENTINEL3B				
0000000003059	R_BIOBIO_LAJA_KM0090	-72.63	-37.23	53.9	20.65	20.7	SENTINEL3B				
0000000003058	R_BIOBIO_LAJA_KM0111	-72.45	-37.21	81.7	20.35	20.4	SENTINEL3A				
0000000010265	R_CAUTIN_CHOL-CHOL_KM0067	-72.91	-38.71	17.4	17.54	17.7	SENTINEL3A				
0000000010268	R_CAUTIN_IMPERIAL_KM0005	-73.36	-38.75	1.1	16.31	16.65	SENTINEL3B				
0000000010266	R_CAUTIN_IMPERIAL_KM0008	-73.35	-38.72	1.1	16.52	16.78	JASON2				
0000000010267	R_CAUTIN_IMPERIAL_KM0039	-73.1	-38.71	4.9	17.24	17.4	SENTINEL3B				
0000000010269	R_CAUTIN_QUEPE_KM0064	-72.88	-38.81	27.2	17.35	17.56	SENTINEL3A				
0000000010241	R_ITATA_ITATA_KM0002	-72.83	-36.39	0	20.75	20.45	SENTINEL3A				
0000000010242	R_ITATA_ITATA_KM0026	-72.66	-36.51	7.6	21.05	20.77	SENTINEL3A				
0000000010243	R_ITATA_NUBLE_KM0053	-72.45	-36.64	22.6	20.86	20.66	SENTINEL3B				
0000000010228	R_MATAQUITO_MATAQUITO_KM0032	-71.95	-35	9.1	21.22	20.94	SENTINEL3B				
0000000010264	R_ARROYO-PELICURA_ARROYO-PELICURA_KM0001	-63.11	-38.62	-20.5	14.89	14.44	SENTINEL3B				
0000000010231	R_MAULE_MAULE_KM0042	-72.08	-35.42	17.7	21.13	20.53	SENTINEL3B				
0000000003212	R_COLORADO-01_COLORADO_KM0073	-62.61	-39.55	16.3	13.61	13.26	SENTINEL3A				
0000000010230	R_MAULE_MAULE_KM0045	-72.06	-35.43	19.4	21.17	20.57	SENTINEL3A				
0000000003230	R_COLORADO-01_COLORADO_KM0097	-62.83	-39.52	20.7	13.82	13.41	SENTINEL3B				
0000000003225	R_COLORADO-01_COLORADO_KM0126	-63.06	-39.48	26.2	14.11	13.6	SENTINEL3B				
0000000010232	R_MAULE_PERQUILAUQUEN_KM0138	-71.94	-35.83	102.5	20.95	20.6	SENTINEL3A				
0000000003215	R_COLORADO-01_COLORADO_KM0172	-63.36	-39.33	39.6	14.21	13.77	SENTINEL3A				
0000000007390	R_NEGRO2_NEUQUEN_KM1159	-70.33	-37.37	842.7	24.73	25.21	SENTINEL3A				
0000000003223	R_COLORADO-01_COLORADO_KM0184	-63.47	-39.32	42.1	14.3	13.81	SENTINEL3A				
0000000008677	R_RAPEL_RAPEL_KM0033	-71.66	-34	21.9	22.87	23.12	SENTINEL3B				
0000000003233	R_COLORADO-01_COLORADO_KM0254	-63.87	-39.1	63.3	14.41	13.83	SENTINEL3B				
0000000003228	R_COLORADO-01_COLORADO_KM0257	-63.9	-39.11	64.3	14.42	13.83	SENTINEL3B				
0000000008678	R_RAPEL_TINGUIRIRICA_KM0090	-71.43	-34.38	116	23.1	23.36	SENTINEL3A				
0000000003221	R_COLORADO-01_COLORADO_KM0311	-64.28	-38.91	81	14.81	14.02	SENTINEL3A				
0000000010270	R_TOLTEN_TOLTEN_KM0064	-72.81	-39.02	42.9	17.36	17.5	SENTINEL3A				
0000000003213	R_COLORADO-01_COLORADO_KM0335	-64.44	-38.87	88.2	14.92	14.14	SENTINEL3A				
0000000010272	R_VALDIVIA_CALLE-CALLE_KM0040	-73.02	-39.79	3	16.79	16.9	SENTINEL3B				
0000000003226	R_COLORADO-01_COLORADO_KM0385	-64.92	-38.83	111.9	14.95	14.34	SENTINEL3B				
0000000003219	R_COLORADO-01_COLORADO_KM0412	-65.18	-38.81	128.2	15.02	14.41	SENTINEL3A				
0000000010271	R_VALDIVIA_CALLE-CALLE_KM0105	-72.5	-39.75	98.6	18.88	19.05	SENTINEL3B				
0000000003211	R_COLORADO-01_COLORADO_KM0437	-65.39	-38.84	142.6	15.14	14.58	SENTINEL3A				
0000000003210	R_COLORADO-01_COLORADO_KM0447	-65.47	-38.81	154.6	15.24	14.66	JASON3				
0000000003232	R_COLORADO-01_COLORADO_KM0473	-65.65	-38.82	162.5	15.49	14.96	SENTINEL3B				
0000000003224	R_COLORADO-01_COLORADO_KM0505	-65.87	-38.79	174	15.83	15.43	SENTINEL3B				
0000000003217	R_COLORADO-01_COLORADO_KM0537	-66.09	-38.73	185.5	16.1	15.92	SENTINEL3A				
0000000003222	R_COLORADO-01_COLORADO_KM0572	-66.35	-38.75	196.7	16.46	16.37	SENTINEL3A				
0000000003231	R_COLORADO-01_COLORADO_KM0598	-66.55	-38.7	206.2	16.75	16.62	SENTINEL3B				
0000000003216	R_COLORADO-01_COLORADO_KM0659	-66.93	-38.45	228.8	17.38	17.19	SENTINEL3A				
0000000003229	R_COLORADO-01_COLORADO_KM0722	-67.34	-38.25	277.6	18.01	18.02	SENTINEL3B				
0000000003220	R_COLORADO-01_COLORADO_KM0732	-67.44	-38.25	277.6	18.1	18.16	SENTINEL3A				
0000000003214	R_COLORADO-01_COLORADO_KM0775	-67.75	-38.07	282.5	18.38	18.45	SENTINEL3A				
0000000003227	R_COLORADO-01_COLORADO_KM0887	-68.07	-37.6	421.9	19.29	18.95	SENTINEL3B				
0000000003218	R_COLORADO-01_COLORADO_KM0950	-68.63	-37.45	523.4	21.06	21.13	SENTINEL3A				
0000000010244	R_AJO_AJO_KM0110	-57.17	-36.71	1.8	14.91	15.1	SENTINEL3B				
0000000003241	R_COLORADO-01_DESAGUADERO_KM0740	-66.59	-37.35	253.6	18.03	17.19	SENTINEL3A				
0000000010193	R_CAMAQUA_CAMAQUA_KM0026	-51.79	-31.13	2.9	8.12	7.74	SENTINEL3A				
0000000010195	R_CAMAQUA_CAMAQUA_KM0080	-52.09	-30.97	16.9	8.68	8.49	SENTINEL3B				
0000000010191	R_CAMAQUA_CAMAQUA_KM0144	-52.55	-30.93	44.2	9.75	9.83	SENTINEL3A				
0000000010192	R_CAMAQUA_CAMAQUA_KM0178	-52.79	-30.9	60.1	10.56	10.48	SENTINEL3A				
0000000003242	R_COLORADO-01_DESAGUADERO_KM0846	-66.88	-36.8	281	18.8	18.25	SENTINEL3B				
0000000010194	R_CAMAQUA_CAMAQUA_KM0249	-53.23	-30.99	94.3	11.73	11.6	SENTINEL3B				
0000000010197	R_CEBOLLATI_CANAL-SAO-GONCALO_KM0008	-52.32	-31.78	0	9.09	9.07	SENTINEL3B				
0000000010196	R_CEBOLLATI_CANAL-SAO-GONCALO_KM0052	-52.46	-32.06	0	9.42	9.41	SENTINEL3A				
0000000010198	R_CEBOLLATI_CEBOLLATI_KM0308	-53.97	-33.34	10	13.59	13.43	SENTINEL3A				
0000000010199	R_CEBOLLATI_JAGUARAO_KM0185	-53.24	-32.63	0.2	11.59	11.55	SENTINEL3A				
0000000010200	R_CEBOLLATI_PIRATINI_KM0049	-52.48	-31.99	2.6	9.47	9.45	SENTINEL3A				
0000000006087	R_JACUI_JACUI_KM0178	-52.55	-30.05	9.5	7.91	7.57	SENTINEL3B				
0000000010225	R_LUJAN_LUJAN_KM0007	-58.64	-34.27	0	16.25	16.42	SENTINEL3B				
0000000003243	R_COLORADO-01_DESAGUADERO_KM0991	-66.64	-36	322.6	20.07	19.57	SENTINEL3B				
0000000010224	R_LUJAN_LUJAN_KM0109	-59.2	-34.6	22	16.46	16.64	SENTINEL3A				
0000000010223	R_LUJAN_LUJAN_KM0110	-59.21	-34.6	22.8	16.47	16.64	SENTINEL3A				
0000000007398	R_NEGRO3_NEGRO_KM0022	-58.19	-33.3	1.3	17.22	17.46	SENTINEL3B				
0000000007394	R_NEGRO3_NEGRO_KM0261	-56.87	-32.96	38.1	16.77	16.86	SENTINEL3A				
0000000007393	R_NEGRO3_NEGRO_KM0263	-56.89	-32.96	38.1	16.77	16.87	SENTINEL3A				
0000000007395	R_NEGRO3_NEGRO_KM0272	-56.85	-32.91	38.6	16.71	16.82	SENTINEL3A				
0000000007396	R_NEGRO3_NEGRO_KM0282	-56.83	-32.88	38.7	16.68	16.79	SENTINEL3A				
0000000010107	R_BREEDE_BREEDE_KM0020	20.66	-34.35	1.4	32.43	31.98	SENTINEL3B				
0000000005412	R_GAMKA_GOURITS_KM0017	21.77	-34.26	2.4	31.75	31.4	SENTINEL3B				
0000000010105	R_GROOT_GROOT_KM0117	24.67	-33.65	145.3	28.27	27.64	SENTINEL3A				
0000000003244	R_COLORADO-01_DESAGUADERO_KM0999	-66.62	-35.94	325.5	20.07	19.61	SENTINEL3B				
0000000008135	R_ORANGE_ORANGE_KM1506	25.16	-30.45	1164.2	32.94	33.05	SENTINEL3B				
0000000008136	R_ORANGE_ORANGE_KM1511	25.18	-30.48	1164.2	32.96	33.11	SENTINEL3B				
0000000007397	R_NEGRO3_NEGRO_KM0577	-55.16	-32.46	89.1	15.01	14.87	SENTINEL3A				
0000000008116	R_ORANGE_ORANGE_KM1512	25.18	-30.48	1164.2	32.98	33.14	SENTINEL3A				
0000000007400	R_NEGRO3_YI_KM0218	-56.93	-33.19	40.3	16.91	16.94	SENTINEL3A				
0000000008120	R_ORANGE_ORANGE_KM1650	26.11	-30.52	1258.2	34.42	34.53	SENTINEL3A				
0000000008124	R_ORANGE_ORANGE_KM1729	26.63	-30.66	1289.1	34.8	34.57	SENTINEL3A				
0000000007399	R_NEGRO3_YI_KM0244	-56.79	-33.28	52	16.78	16.82	SENTINEL3A				
0000000008251	R_PARANA_ARRECIFES_KM0231	-60	-34.09	22.7	17.14	17.11	SENTINEL3A				
0000000008141	R_ORANGE_SENQU_KM1805	27.04	-30.54	1328	34.77	34.5	SENTINEL3A				
0000000008252	R_PARANA_ARROYO-FELICIANO_KM0625	-59.75	-31.07	19.5	17.07	17.08	SENTINEL3B				
0000000008139	R_ORANGE_SENQU_KM1912	27.47	-30.31	1395	34.81	34.8	SENTINEL3A				
0000000008253	R_PARANA_ARROYO-SALINAS-TRIB-01_KM0785	-59.07	-30.13	36.2	17.32	17.21	SENTINEL3B				
0000000008317	R_PARANA_GUALEGUAY_KM0253	-59.2	-32.97	10.8	17.3	17.51	SENTINEL3B				
0000000008140	R_ORANGE_SENQU_KM1917	27.48	-30.35	1397.7	34.9	34.89	SENTINEL3A				
0000000008143	R_ORANGE_SENQU_KM1928	27.55	-30.4	1401.2	35.15	35.15	SENTINEL3B				
0000000003234	R_COLORADO-01_DESAGUADERO_KM1091	-66.5	-35.25	355.4	20.48	20.35	SENTINEL3A				
0000000008142	R_ORANGE_SENQU_KM2059	28.1	-30.07	1502.2	35.81	36	SENTINEL3A				
0000000009295	R_AVON-01_AVON_KM0016	115.83	-32	0	-33.03	-32.83	SENTINEL3A				
0000000009296	R_AVON-01_AVON_KM0295	117.27	-32.22	211.8	-26.98	-26.93	SENTINEL3A				
0000000008316	R_PARANA_GUALEGUAY_KM0515	-59.13	-31.62	39.8	16.71	16.81	SENTINEL3A				
0000000009297	R_AVON-01_AVON_KM0298	117.29	-32.2	211.8	-26.96	-26.92	SENTINEL3B				
0000000009291	R_MOORE_MOORE_KM0055	115.56	-31.05	55.7	-32.54	-32.76	SENTINEL3A				
0000000008318	R_PARANA_GUALEGUAY_KM0597	-58.8	-31.14	48.4	16.58	16.72	SENTINEL3B				
0000000008424	R_PARANA_PARANA-GUAZU_KM0002	-58.54	-33.93	0	16.53	16.71	SENTINEL3B				
0000000008423	R_PARANA_PARANA-GUAZU_KM0049	-58.96	-33.87	0	16.79	17	SENTINEL3B				
0000000008421	R_PARANA_PARANA-GUAZU_KM0050	-58.97	-33.87	0	16.8	17	JASON2				
0000000008422	R_PARANA_PARANA-GUAZU_KM0053	-58.99	-33.85	0	16.81	17.03	SENTINEL3A				
0000000008368	R_PARANA_PARANA-IBICUY_KM0115	-59.37	-33.54	0.7	17.07	17.29	SENTINEL3B				
0000000008367	R_PARANA_PARANA-IBICUY_KM0145	-59.57	-33.38	0.7	17.11	17.35	SENTINEL3A				
0000000008499	R_PARANA_PARANA_KM0122	-59.42	-33.73	0.3	16.94	17.14	SENTINEL3B				
0000000003235	R_COLORADO-01_DESAGUADERO_KM1168	-66.64	-34.76	376.9	21.37	21.18	SENTINEL3A				
0000000008497	R_PARANA_PARANA_KM0127	-59.47	-33.71	0.3	16.93	17.16	SENTINEL3A				
0000000008498	R_PARANA_PARANA_KM0134	-59.49	-33.65	0.3	16.94	17.2	SENTINEL3A				
0000000008494	R_PARANA_PARANA_KM0168	-59.61	-33.25	0.7	17.14	17.37	SENTINEL3A				
0000000008500	R_PARANA_PARANA_KM0181	-59.83	-33.53	0.3	16.9	17.2	SENTINEL3A				
0000000008524	R_PARANA_PARANA_KM0622	-59.79	-30.92	17.1	17.13	17.11	SENTINEL3B				
0000000008425	R_PARANA_PARANA-PAVON_KM0185	-59.75	-33.25	0.7	17.06	17.27	SENTINEL3A				
0000000008416	R_PARANA_PARANA-PAVON-TRIB-07_KM0712	-59.49	-30.34	24.6	17.45	17.35	SENTINEL3A				
0000000010637	R_SALADO_ARROYO-LAS-FLORES_KM0314	-59.32	-35.81	27.6	17.32	17.47	SENTINEL3B				
0000000010636	R_SALADO_ARROYO-SALADILLO_KM0316	-59.4	-35.52	27.7	17.49	17.56	SENTINEL3B				
0000000010635	R_SALADO_ARROYO-SALADILLO_KM0324	-59.47	-35.49	31.7	17.42	17.5	SENTINEL3A				
0000000010634	R_SALADO_ARROYO-SALADILLO_KM0371	-59.89	-35.48	38.1	17.32	17.31	SENTINEL3A				
0000000010638	R_SALADO_SALADO_KM0081	-57.87	-35.97	1.2	16.87	16.96	SENTINEL3A				
0000000010639	R_SALADO_SALADO_KM0212	-58.62	-35.75	16	17.34	17.44	SENTINEL3A				
0000000003236	R_COLORADO-01_DESAGUADERO_KM1177	-66.66	-34.7	378.9	21.44	21.26	SENTINEL3A				
0000000010643	R_SALADO_SALADO_KM0339	-59.42	-35.3	28.9	17.21	17.32	SENTINEL3A				
0000000010647	R_SALADO_SALADO_KM0345	-59.47	-35.3	29.9	17.19	17.31	SENTINEL3B				
0000000009306	R_HAWKESBURY_HAWKESBURY_KM0087	150.88	-33.56	2.1	23.76	23.73	SENTINEL3A				
0000000009299	R_HUNTER_HUNTER_KM0008	151.7	-32.81	0	25.87	25.85	SENTINEL3A				
0000000009319	R_GLENELG_GLENELG_KM0014	140.99	-37.99	2.9	-3.85	-3.78	SENTINEL3A				
0000000009293	R_GAIRDNER_GAIRDNER_KM0052	136.04	-32	120	0.19	0.32	SENTINEL3A				
0000000009300	R_HUNTER_HUNTER_KM0024	151.72	-32.74	0.8	26.1	26.11	SENTINEL3A				
0000000009320	R_GLENELG_GLENELG_KM0054	141.25	-38.04	2.9	-3.21	-3.25	SENTINEL3B				
0000000007290	R_MURRAY_MURRAY_KM0037	139.32	-35.19	0	0.01	-0.28	SENTINEL3B				
0000000007291	R_MURRAY_MURRAY_KM0060	139.36	-35.05	0	0.62	0.18	SENTINEL3B				
0000000007243	R_MURRAY_BARWON_KM2426	147.08	-30.05	117.6	26.3	26.1	SENTINEL3A				
0000000007292	R_MURRAY_MURRAY_KM0063	139.37	-35.03	0	0.75	0.28	SENTINEL3B				
0000000007247	R_MURRAY_BARWON_KM2525	147.56	-30.1	124.9	27.18	26.97	SENTINEL3B				
0000000009298	R_HUNTER_HUNTER_KM0196	150.86	-32.46	72	26.93	27.67	SENTINEL3A				
0000000010649	R_SALADO_SALADO_KM0401	-59.84	-35.16	38.3	17.11	17.27	SENTINEL3B				
0000000007255	R_MURRAY_DARLING_KM1156	142.34	-32.83	54.4	9.23	9.17	SENTINEL3A				
0000000007293	R_MURRAY_MURRAY_KM0098	139.42	-34.86	1	1.43	0.81	SENTINEL3B				
0000000009281	R_MACLEAY_MACLEAY_KM0023	152.96	-31.01	0.7	30.66	30.73	SENTINEL3A				
0000000010640	R_SALADO_SALADO_KM0420	-59.99	-35.13	40.7	17.24	17.35	SENTINEL3A				
0000000007286	R_MURRAY_MURRAY_KM0117	139.58	-34.9	1.8	1.62	0.99	SENTINEL3B				
0000000010235	R_SAMBOROMBON_SAMBOROMBON_KM0062	-57.55	-35.47	3.5	15.5	15.69	SENTINEL3B				
0000000007287	R_MURRAY_MURRAY_KM0137	139.55	-34.8	2.8	1.86	1.21	SENTINEL3B				
0000000007275	R_MURRAY_MURRAY_KM0275	139.8	-34.06	5.1	3.91	3.5	SENTINEL3A				
0000000011539	R_URUGUAY_ARAPEY-GRANDE_KM0319	-57.44	-31	39.9	15.27	15.35	SENTINEL3A				
0000000011561	R_URUGUAY_QUEGUAY-GRANDE_KM0112	-58.06	-32.11	1.3	16.93	17.22	SENTINEL3A				
0000000011562	R_URUGUAY_SANTA-MARIA_KM0886	-54.82	-30.32	94.2	12.22	11.91	SENTINEL3A				
0000000011563	R_URUGUAY_URUGUAY_KM0138	-58.14	-31.83	1.3	16.66	16.93	SENTINEL3A				
0000000003240	R_COLORADO-01_DESAGUADERO_KM1186	-66.7	-34.65	380.7	21.46	21.31	SENTINEL3A				
0000000011564	R_URUGUAY_URUGUAY_KM0356	-57.63	-30.3	35	15.01	14.79	SENTINEL3A				
0000000007256	R_MURRAY_DARLING_KM1180	142.38	-32.72	56.1	9.55	9.55	SENTINEL3A				
0000000008256	R_PARANA_BERMEJITO_KM1611	-60.27	-25.62	104.7	21.66	21.69	SENTINEL3B				
0000000008275	R_PARANA_BERMEJO_KM1572	-60.03	-25.7	100.1	21.29	21.36	SENTINEL3B				
0000000008261	R_PARANA_BERMEJO_KM1733	-60.89	-25.01	131.5	22.67	23.01	SENTINEL3A				
0000000010190	R_GUAIBA_DOS-SINOS_KM0028	-51.21	-29.84	1.5	4.89	4.48	SENTINEL3A				
0000000006085	R_JACUI_JACUI_KM0012	-51.35	-29.96	0	5.17	4.82	SENTINEL3A				
0000000006088	R_JACUI_JACUI_KM0044	-51.65	-29.95	0	5.67	5.34	SENTINEL3B				
0000000008264	R_PARANA_BERMEJO_KM1800	-61.19	-24.71	144.8	23.47	23.77	SENTINEL3A				
0000000006086	R_JACUI_JACUI_KM0101	-52.12	-29.93	1.6	6.53	6.23	SENTINEL3A				
0000000008272	R_PARANA_BERMEJO_KM1846	-61.47	-24.61	151.6	24.06	24.31	SENTINEL3B				
0000000006089	R_JACUI_JACUIZINHO_KM0406	-53.21	-29.36	72.2	9.13	8.63	SENTINEL3A				
0000000005065	R_DOCE_DOCE_KM0510	-42.72	-20.01	262.8	-9.82	-9.87	SENTINEL3B				
0000000010109	R_ITABAPOANA_ITABAPOANA_KM0029	-41.15	-21.24	4	-6.92	-6.04	SENTINEL3B				
0000000007257	R_MURRAY_DARLING_KM1270	142.47	-32.35	59.4	10.6	10.89	SENTINEL3A				
0000000006090	R_JACUI_TAQUARI_KM0072	-51.79	-29.86	0.7	5.76	5.43	SENTINEL3B				
