ID,SYEAR,EYEAR,LON,LAT,Flag,DIR
DK-Fou,2005,2005,9.58722,56.4842,TRUE,./data/reference/debug/PLUMBER2/DK-Fou_2005-2005_FLUXNET2015_Flux.nc
DK-Lva,2005,2005,12.0833,55.6833,TRUE,./data/reference/debug/PLUMBER2/DK-Lva_2005-2005_LaThuile_Flux.nc
DK-Sor,2004,2005,11.64464,55.48587,TRUE,./data/reference/debug/PLUMBER2/DK-Sor_2004-2005_FLUXNET2015_Flux.nc
ES-ES1,2004,2005,-0.31881,39.34597,TRUE,./data/reference/debug/PLUMBER2/ES-ES1_2004-2005_LaThuile_Flux.nc
ES-ES2,2005,2005,-0.31528,39.27556,TRUE,./data/reference/debug/PLUMBER2/ES-ES2_2005-2005_LaThuile_Flux.nc
ES-LMa,2004,2005,-5.77336,39.94269,TRUE,./data/reference/debug/PLUMBER2/ES-LMa_2004-2005_LaThuile_Flux.nc
ES-VDA,2004,2004,1.4485,42.15218,TRUE,./data/reference/debug/PLUMBER2/ES-VDA_2004-2004_LaThuile_Flux.nc
FI-Hyy,2004,2005,24.295,61.8475,TRUE,./data/reference/debug/PLUMBER2/FI-Hyy_2004-2005_FLUXNET2015_Flux.nc
FR-Gri,2005,2005,1.95191,48.84422,TRUE,./data/reference/debug/PLUMBER2/FR-Gri_2005-2005_FLUXNET2015_Flux.nc
FR-Hes,2004,2005,7.06556,48.67416,TRUE,./data/reference/debug/PLUMBER2/FR-Hes_2004-2005_LaThuile_Flux.nc
FR-LBr,2004,2005,-0.7693,44.71711,TRUE,./data/reference/debug/PLUMBER2/FR-LBr_2004-2005_FLUXNET2015_Flux.nc
FR-Lq1,2004,2005,2.73583,45.64306,TRUE,./data/reference/debug/PLUMBER2/FR-Lq1_2004-2005_LaThuile_Flux.nc
FR-Lq2,2004,2005,2.73703,45.63919,TRUE,./data/reference/debug/PLUMBER2/FR-Lq2_2004-2005_LaThuile_Flux.nc
FR-Pue,2004,2005,3.59583,43.74139,TRUE,./data/reference/debug/PLUMBER2/FR-Pue_2004-2005_FLUXNET2015_Flux.nc
HU-Bug,2004,2005,19.6013,46.6911,TRUE,./data/reference/debug/PLUMBER2/HU-Bug_2004-2005_LaThuile_Flux.nc
IE-Ca1,2004,2005,-6.91814,52.85879,TRUE,./data/reference/debug/PLUMBER2/IE-Ca1_2004-2005_LaThuile_Flux.nc
IE-Dri,2004,2005,-8.75181,51.98669,TRUE,./data/reference/debug/PLUMBER2/IE-Dri_2004-2005_LaThuile_Flux.nc
IT-Amp,2004,2005,13.60516,41.9041,TRUE,./data/reference/debug/PLUMBER2/IT-Amp_2004-2005_LaThuile_Flux.nc
IT-BCi,2005,2005,14.95744,40.5238,TRUE,./data/reference/debug/PLUMBER2/IT-BCi_2005-2005_FLUXNET2015_Flux.nc
IT-Cpz,2004,2005,12.37611,41.70525,TRUE,./data/reference/debug/PLUMBER2/IT-Cpz_2004-2005_FLUXNET2015_Flux.nc
IT-LMa,2004,2004,7.58259,45.15258,TRUE,./data/reference/debug/PLUMBER2/IT-LMa_2004-2004_LaThuile_Flux.nc
IT-Lav,2005,2005,11.28132,45.9562,TRUE,./data/reference/debug/PLUMBER2/IT-Lav_2005-2005_FLUXNET2015_Flux.nc
IT-MBo,2004,2005,11.04583,46.01468,TRUE,./data/reference/debug/PLUMBER2/IT-MBo_2004-2005_FLUXNET2015_Flux.nc
IT-Noe,2004,2005,8.15169,40.60618,TRUE,./data/reference/debug/PLUMBER2/IT-Noe_2004-2005_FLUXNET2015_Flux.nc
IT-PT1,2004,2004,9.06104,45.20087,TRUE,./data/reference/debug/PLUMBER2/IT-PT1_2004-2004_FLUXNET2015_Flux.nc
IT-Ro2,2004,2005,11.92093,42.39026,TRUE,./data/reference/debug/PLUMBER2/IT-Ro2_2004-2005_FLUXNET2015_Flux.nc
IT-SRo,2004,2005,10.28444,43.72786,TRUE,./data/reference/debug/PLUMBER2/IT-SRo_2004-2005_FLUXNET2015_Flux.nc
NL-Ca1,2004,2005,4.927,51.971,TRUE,./data/reference/debug/PLUMBER2/NL-Ca1_2004-2005_LaThuile_Flux.nc
NL-Loo,2004,2005,5.74356,52.16658,TRUE,./data/reference/debug/PLUMBER2/NL-Loo_2004-2005_FLUXNET2015_Flux.nc
PL-wet,2004,2005,16.3094,52.7622,TRUE,./data/reference/debug/PLUMBER2/PL-wet_2004-2005_LaThuile_Flux.nc
PT-Mi2,2005,2005,-8.02455,38.4765,TRUE,./data/reference/debug/PLUMBER2/PT-Mi2_2005-2005_LaThuile_Flux.nc
RU-Che,2004,2004,161.34143,68.61304,TRUE,./data/reference/debug/PLUMBER2/RU-Che_2004-2004_FLUXNET2015_Flux.nc
RU-Fyo,2004,2005,32.92208,56.46153,TRUE,./data/reference/debug/PLUMBER2/RU-Fyo_2004-2005_FLUXNET2015_Flux.nc
SD-Dem,2005,2005,30.4783,13.2829,TRUE,./data/reference/debug/PLUMBER2/SD-Dem_2005-2005_FLUXNET2015_Flux.nc
UK-Ham,2004,2004,-0.8583,51.15353,TRUE,./data/reference/debug/PLUMBER2/UK-Ham_2004-2004_LaThuile_Flux.nc
US-ARM,2004,2005,-97.4888,36.6058,TRUE,./data/reference/debug/PLUMBER2/US-ARM_2004-2005_FLUXNET2015_Flux.nc
US-Aud,2004,2005,-110.5092,31.5907,TRUE,./data/reference/debug/PLUMBER2/US-Aud_2004-2005_LaThuile_Flux.nc
US-Bkg,2005,2005,-96.83617,44.34529,TRUE,./data/reference/debug/PLUMBER2/US-Bkg_2005-2005_LaThuile_Flux.nc
US-Blo,2004,2005,-120.63275,38.8953,TRUE,./data/reference/debug/PLUMBER2/US-Blo_2004-2005_FLUXNET2015_Flux.nc
US-Bo1,2004,2005,-88.2904,40.0062,TRUE,./data/reference/debug/PLUMBER2/US-Bo1_2004-2005_LaThuile_Flux.nc
US-FPe,2004,2005,-105.1019,48.3077,TRUE,./data/reference/debug/PLUMBER2/US-FPe_2004-2005_LaThuile_Flux.nc
US-Goo,2004,2005,-89.8735,34.2547,TRUE,./data/reference/debug/PLUMBER2/US-Goo_2004-2005_LaThuile_Flux.nc
US-Ho1,2004,2004,-68.7402,45.2041,TRUE,./data/reference/debug/PLUMBER2/US-Ho1_2004-2004_LaThuile_Flux.nc
US-KS2,2004,2005,-80.67153,28.608578,TRUE,./data/reference/debug/PLUMBER2/US-KS2_2004-2005_FLUXNET2015_Flux.nc
US-Los,2004,2005,-89.9792,46.0827,TRUE,./data/reference/debug/PLUMBER2/US-Los_2004-2005_FLUXNET2015_Flux.nc
US-MMS,2004,2005,-86.4131,39.3232,TRUE,./data/reference/debug/PLUMBER2/US-MMS_2004-2005_FLUXNET2015_Flux.nc
US-MOz,2005,2005,-92.20001,38.74411,TRUE,./data/reference/debug/PLUMBER2/US-MOz_2005-2005_LaThuile_Flux.nc
US-Me2,2004,2005,-121.5574,44.4523,TRUE,./data/reference/debug/PLUMBER2/US-Me2_2004-2005_FLUXNET2015_Flux.nc
US-NR1,2004,2005,-105.5464,40.0329,TRUE,./data/reference/debug/PLUMBER2/US-NR1_2004-2005_FLUXNET2015_Flux.nc
US-Ne1,2004,2005,-96.4766,41.1651,TRUE,./data/reference/debug/PLUMBER2/US-Ne1_2004-2005_FLUXNET2015_Flux.nc
US-Ne2,2004,2005,-96.4701,41.1649,TRUE,./data/reference/debug/PLUMBER2/US-Ne2_2004-2005_FLUXNET2015_Flux.nc
US-Ne3,2004,2005,-96.4397,41.1797,TRUE,./data/reference/debug/PLUMBER2/US-Ne3_2004-2005_FLUXNET2015_Flux.nc
US-SP1,2005,2005,-82.21877,29.73807,TRUE,./data/reference/debug/PLUMBER2/US-SP1_2005-2005_LaThuile_Flux.nc
US-SP2,2004,2004,-82.24482,29.7648,TRUE,./data/reference/debug/PLUMBER2/US-SP2_2004-2004_LaThuile_Flux.nc
US-SP3,2004,2004,-82.16328,29.75477,TRUE,./data/reference/debug/PLUMBER2/US-SP3_2004-2004_LaThuile_Flux.nc
US-SRM,2004,2005,-110.866,31.8214,TRUE,./data/reference/debug/PLUMBER2/US-SRM_2004-2005_FLUXNET2015_Flux.nc
US-Syv,2004,2005,-89.3477,46.242,TRUE,./data/reference/debug/PLUMBER2/US-Syv_2004-2005_FLUXNET2015_Flux.nc
US-Ton,2004,2005,-120.966,38.4316,TRUE,./data/reference/debug/PLUMBER2/US-Ton_2004-2005_FLUXNET2015_Flux.nc
US-Var,2004,2005,-120.95076,38.4133,TRUE,./data/reference/debug/PLUMBER2/US-Var_2004-2005_FLUXNET2015_Flux.nc
US-WCr,2004,2005,-90.0799,45.8059,TRUE,./data/reference/debug/PLUMBER2/US-WCr_2004-2005_FLUXNET2015_Flux.nc
US-Wkg,2005,2005,-109.9419,31.7365,TRUE,./data/reference/debug/PLUMBER2/US-Wkg_2005-2005_FLUXNET2015_Flux.nc
