ID,SYEAR,EYEAR,LON,LAT,Flag,DIR
IT-Ren,2004,2004,11.43369,46.58686,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/IT-Ren_2004-2004.nc
IT-Ro1,2004,2005,11.93001,42.40812,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/IT-Ro1_2004-2005.nc
IT-Ro2,2004,2005,11.92093,42.39026,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/IT-Ro2_2004-2005.nc
IT-SRo,2004,2005,10.28444,43.72786,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/IT-SRo_2004-2005.nc
JP-MBF,2004,2005,142.3186,44.3869,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/JP-MBF_2004-2005.nc
JP-SMF,2004,2005,137.0788,35.2617,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/JP-SMF_2004-2005.nc
MX-Lpa,2004,2005,-110.438,24.1292,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/MX-Lpa_2004-2005.nc
MX-Tes,2004,2005,-109.29885,27.8423,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/MX-Tes_2004-2005.nc
MY-PSO,2004,2005,102.3062,2.973,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/MY-PSO_2004-2005.nc
NL-Hor,2004,2005,5.0713,52.24035,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/NL-Hor_2004-2005.nc
NL-Loo,2004,2005,5.74356,52.16658,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/NL-Loo_2004-2005.nc
RU-Che,2004,2004,161.34143,68.61304,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/RU-Che_2004-2004.nc
RU-Fyo,2004,2005,32.92208,56.46153,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/RU-Fyo_2004-2005.nc
RU-Ha1,2004,2004,90.00215,54.72517,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/RU-Ha1_2004-2004.nc
US-ARb,2005,2005,-98.0402,35.5497,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-ARb_2005-2005.nc
US-ARc,2005,2005,-98.04,35.54649,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-ARc_2005-2005.nc
US-Atq,2004,2005,-157.4089,70.4696,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Atq_2004-2005.nc
US-Aud,2004,2005,-110.5104,31.5907,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Aud_2004-2005.nc
US-Bkg,2004,2005,-96.8362,44.3453,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Bkg_2004-2005.nc
US-Blk,2004,2005,-103.65,44.158,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Blk_2004-2005.nc
US-Blo,2004,2005,-120.6328,38.8953,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Blo_2004-2005.nc
US-Bn1,2004,2004,-145.3782,63.9198,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Bn1_2004-2004.nc
US-Bn2,2004,2004,-145.3782,63.9198,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Bn2_2004-2004.nc
US-Bn3,2004,2004,-145.7442,63.9227,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Bn3_2004-2004.nc
US-Bo1,2004,2005,-88.2904,40.0062,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Bo1_2004-2005.nc
US-Bo2,2004,2005,-88.29,40.009,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Bo2_2004-2005.nc
US-Br1,2005,2005,-93.6906,41.9749,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Br1_2005-2005.nc
US-Br3,2005,2005,-93.6936,41.9747,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Br3_2005-2005.nc
US-CMW,2004,2005,-110.1777,31.6637,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-CMW_2004-2005.nc
US-CaV,2004,2005,-79.4208,39.0633,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-CaV_2004-2005.nc
US-Ced,2005,2005,-74.3791,39.8379,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Ced_2005-2005.nc
US-ChR,2005,2005,-84.3324,35.9311,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-ChR_2005-2005.nc
US-Dix,2005,2005,-74.4346,39.9712,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Dix_2005-2005.nc
US-Dk1,2004,2005,-79.0934,35.9712,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Dk1_2004-2005.nc
US-Dk2,2004,2005,-79.1004,35.9736,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Dk2_2004-2005.nc
US-Dk3,2004,2005,-79.0942,35.9782,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Dk3_2004-2005.nc
US-FPe,2004,2005,-105.1019,48.3077,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-FPe_2004-2005.nc
US-FR2,2005,2005,-97.9962,29.9495,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-FR2_2005-2005.nc
US-FR3,2004,2005,-97.99,29.94,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-FR3_2004-2005.nc
US-Fmf,2005,2005,-111.7273,35.1426,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Fmf_2005-2005.nc
US-Fuf,2005,2005,-111.762,35.089,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Fuf_2005-2005.nc
US-Fwf,2005,2005,-111.7718,35.4454,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Fwf_2005-2005.nc
US-GBT,2004,2005,-106.2397,41.36579,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-GBT_2004-2005.nc
US-GMF,2004,2004,-73.2333,41.9667,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-GMF_2004-2004.nc
US-Goo,2004,2004,-89.8735,34.2547,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Goo_2004-2004.nc
US-Ha1,2004,2005,-72.1715,42.5378,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Ha1_2004-2005.nc
US-Ho2,2004,2005,-68.747,45.2091,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Ho2_2004-2005.nc
US-Ho3,2004,2005,-68.725,45.2072,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Ho3_2004-2005.nc
US-IB1,2005,2005,-88.2227,41.8593,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-IB1_2005-2005.nc
US-IB2,2005,2005,-88.24103,41.84062,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-IB2_2005-2005.nc
US-Ivo,2004,2005,-155.7503,68.4865,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Ivo_2004-2005.nc
US-KUT,2005,2005,-93.1863,44.995,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-KUT_2005-2005.nc
US-LPH,2004,2005,-72.185,42.5419,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-LPH_2004-2005.nc
US-LS1,2004,2005,-110.1403,31.5615,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-LS1_2004-2005.nc
US-LS2,2004,2005,-110.1344,31.5659,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-LS2_2004-2005.nc
US-Me2,2004,2005,-121.5574,44.4523,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Me2_2004-2005.nc
US-Me3,2004,2005,-121.6078,44.3154,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Me3_2004-2005.nc
US-Oho,2004,2005,-83.8438,41.5545,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Oho_2004-2005.nc
US-PFa,2004,2005,-90.2723,45.9459,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-PFa_2004-2005.nc
US-Ro1,2004,2005,-93.0898,44.7143,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Ro1_2004-2005.nc
US-Ro3,2004,2005,-93.0893,44.7217,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Ro3_2004-2005.nc
US-Rwe,2004,2005,-116.7591,43.0653,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Rwe_2004-2005.nc
US-SO2,2004,2005,-116.6228,33.3738,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-SO2_2004-2005.nc
US-SO3,2004,2005,-116.6226,33.3771,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-SO3_2004-2005.nc
US-SO4,2004,2005,-116.6406,33.3845,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-SO4_2004-2005.nc
US-SP1,2004,2005,-82.2188,29.7381,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-SP1_2004-2005.nc
US-SP2,2004,2005,-82.2448,29.7648,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-SP2_2004-2005.nc
US-SP3,2004,2005,-82.1633,29.7548,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-SP3_2004-2005.nc
US-SRM,2004,2005,-110.8661,31.8214,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-SRM_2004-2005.nc
US-SdH,2004,2005,-101.4072,42.0693,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-SdH_2004-2005.nc
US-Skr,2004,2005,-81.0776,25.3629,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Skr_2004-2005.nc
US-Slt,2005,2005,-74.596,39.9138,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Slt_2005-2005.nc
US-Sta,2005,2005,-106.8024,41.3966,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Sta_2005-2005.nc
US-UMB,2004,2005,-84.7138,45.5598,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-UMB_2004-2005.nc
US-Var,2004,2005,-120.9507,38.4133,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Var_2004-2005.nc
US-WCr,2004,2005,-90.0799,45.8059,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-WCr_2004-2005.nc
US-Wi3,2004,2004,-91.098667,46.634722,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Wi3_2004-2004.nc
US-Wi4,2004,2005,-91.16625,46.739333,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Wi4_2004-2005.nc
US-Wi5,2004,2004,-91.085806,46.653083,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Wi5_2004-2004.nc
US-Wi7,2005,2005,-91.069278,46.649111,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Wi7_2005-2005.nc
US-Wi9,2004,2005,-91.081444,46.618778,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Wi9_2004-2005.nc
US-Wkg,2004,2005,-109.9419,31.7365,TRUE,./data/reference/debug/GLEAM_hybird_PLUMBER2/US-Wkg_2004-2005.nc
